market,strategy,n_trades,final_capital,total_return
SP500,open_to_open,33,56.458807036624655,-0.4354119296337534
SP500,open_to_close,33,63.2868371467268,-0.36713162853273196
SP500,close_to_open,33,70.94654260672455,-0.2905345739327545
SP500,close_to_close,33,79.52669430585826,-0.2047330569414174
NASDAQ,open_to_open,32,50.70144227420603,-0.4929855772579397
NASDAQ,open_to_close,32,57.76245723619336,-0.42237542763806635
NASDAQ,close_to_open,32,68.39054433956828,-0.3160945566043172
NASDAQ,close_to_close,32,77.91505952453038,-0.22084940475469628
DOW,open_to_open,35,53.71099715302171,-0.4628900284697829
DOW,open_to_close,35,58.47529220177125,-0.41524707798228744
DOW,close_to_open,35,69.3329305906832,-0.30667069409316794
DOW,close_to_close,35,75.48292883010156,-0.2451707116989844
HANGSENG,open_to_open,38,48.636159151311944,-0.5136384084868806
HANGSENG,open_to_close,38,50.387464087567615,-0.4961253591243239
HANGSENG,close_to_open,38,61.98472899491804,-0.38015271005081963
HANGSENG,close_to_close,38,64.21669310876894,-0.3578330689123106
